Comment,Designator,Footprint,LCSC
2.2uF,"C24,C27",C_0402_1005Metric,C107370
Micro_SD_Card_Det_Hirose_DM3AT,J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218
47uF,C49,CP_Elec_4x5.4,C114447
22R,"R54,R55,R56,R57,R58,R59",R_0402_1005Metric,C114765
BUTTON_RESET,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK,C115357
LINE_IN,"J17,J18,J19",PJ-316A-6A,C128987
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
AO3401A,"Q1,Q4",SOT-23,C15127
100nF,"C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C25,C30,C50,C6,C7,C77,C78,C79,C8,C80,C81,C83,C84,C87",C_0402_1005Metric,C1525
220pF,"C57,C60",C_0402_1005Metric,C1530
470pF,C58,C_0402_1005Metric,C1537
12pF,"C13,C9",C_0402_1005Metric,C1547
10uF,"C1,C2,C88,C89",C_0805_2012Metric,C15850
5Ω@100MHz,FB2,L_0402_1005Metric,C160969
HOST(DFP),"J10,J9",USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10nF,"C4,C71",C_0805_2012Metric,C1710
1K,"R1,R2,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
4.7uF,"C26,C29,C72,C74,C85,C86",C_0402_1005Metric,C23733
SS14,D9,D_SMA,C2480
10R,R7,R_0402_1005Metric,C25077
10K,"R10,R11,R12,R13,R14,R15,R16,R17,R9",R_0402_1005Metric,C25744
39nH,"L1,L4",L_0402_1005Metric,C26443
ECMF02-2AMX6,U7,ST_UQFN-6L_1.5x1.7mm_P0.5mm,C2651144
MP34DT05TR-A,"U10,U11",MP34DT05TR-A_STM,C2688664
GPIO,J13,IDC-PinHeader_2x17_P2.54mm_Vertical_SMD,C2829932
1uF,"C3,C69",C_0805_2012Metric,C28323
ARM_JTAG_SWD(STDC14),J14,PinHeader_2x07_P1.27mm_Vertical_SMD,C2881912
10K,"R78,R79",R_0603_1608Metric,C2924143
100nF,"C47,C48",C_1206_3216Metric,C3015151
SP0503BAHT,"D12,D13",SOT-143,C3040626
1uF,C46,C_0805_2012Metric,C307362
WM8904CGEFL/V,U13,QFN40P400X400X80-33N,C323845
LED,"D1,D2,D3",LED_0805_2012Metric,C34499
56K,"R45,R46",R_0402_1005Metric,C352409
5.1K,"R43,R44",R_0402_1005Metric,C409730
5.6K,"R72,R73,R74,R77",R_0603_1608Metric,C417107
2.2uF,C70,C_0402_1005Metric,C452745
UART,J5,IDC-Header_2x03_P2.54mm_Vertical_SMD,C492445
TPS2041B,U8,SOT-23-5,C51386
1uF,"C10,C16,C28,C5,C51,C61,C64,C65,C82",C_0402_1005Metric,C52923
20R,"R80,R81,R82,R83",R_0603_1608Metric,C544033
AMS1117-1.8,U14,SOT-223-3_TabPin2,C6185
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
10uF,"C63,C66",CP_EIA-3216-18_Kemet-A,C7171
STM32H723ZGTx,U2,LQFP-144_20x20mm_P0.5mm,C730146
600Ω@100MHz,"FB1,FB4",L_1206_3216Metric,C73732
2.2uF,"C67,C68",C_0603_1608Metric,C86013
2.2K,"R3,R4,R75",R_0402_1005Metric,C966835
TP_AUDIO_MIC_DATA,TP17,TestPoint_Pad_D1.5mm,
TP_AUDIO_MIC_CLK,TP16,TestPoint_Pad_D1.5mm,
TP_USB_DEVICE_HOST_P,TP15,TestPoint_Pad_D1.5mm,
TP_USB_DEVICE_HOST_N,TP14,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_D1,TP13,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_D0,TP12,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_CK,TP11,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_CMD,TP10,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_D3,TP9,TestPoint_Pad_D1.5mm,
TP_CARD_SDMMC_D2,TP8,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_SAI_SD_IN,TP7,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_SAI_SD_OUT,TP6,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_SAI_SCK,TP5,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_SAI_FS,TP4,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_SAI_MCLK,TP3,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_I2C_SCA,TP2,TestPoint_Pad_D1.5mm,
TP_AUDIO_CODEC_I2C_SCL,TP1,TestPoint_Pad_D1.5mm,
