Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,77.0,-150.75,180.0,top
C2,10uF,C_0805_2012Metric,76.25,-139.75,180.0,top
C3,1uF,C_0805_2012Metric,55.25,-125.265,-90.0,top
C4,10nF,C_0805_2012Metric,57.25,-125.265,-90.0,top
C5,1uF,C_0402_1005Metric,56.212587,-121.5,180.0,top
C6,100nF,C_0402_1005Metric,57.712587,-112.25,90.0,top
C7,100nF,C_0402_1005Metric,56.212587,-122.5,180.0,top
C8,100nF,C_0402_1005Metric,57.712587,-119.25,-90.0,top
C9,12pF,C_0402_1005Metric,55.212587,-112.25,180.0,top
C10,1uF,C_0402_1005Metric,56.212587,-119.5,180.0,top
C11,100nF,C_0402_1005Metric,61.962587,-125.5,180.0,top
C12,100nF,C_0402_1005Metric,56.212587,-120.5,180.0,top
C13,12pF,C_0402_1005Metric,55.212587,-117.75,180.0,top
C14,100nF,C_0402_1005Metric,68.462587,-125.5,180.0,top
C15,100nF,C_0402_1005Metric,73.462587,-125.5,180.0,top
C16,1uF,C_0402_1005Metric,57.232587,-107.5,180.0,top
C17,100nF,C_0402_1005Metric,57.232587,-106.5,180.0,top
C18,100nF,C_0402_1005Metric,79.462587,-125.5,0.0,top
C19,100nF,C_0402_1005Metric,82.212587,-116.75,-90.0,top
C20,100nF,C_0402_1005Metric,82.212587,-104.0,-90.0,top
C21,100nF,C_0402_1005Metric,72.962587,-101.0,0.0,top
C22,100nF,C_0402_1005Metric,67.962587,-101.0,0.0,top
C23,100nF,C_0402_1005Metric,60.212587,-100.5,180.0,top
C24,2.2uF,C_0402_1005Metric,77.962587,-126.0,-90.0,top
C25,100nF,C_0402_1005Metric,57.249999,-117.75,180.0,top
C26,4.7uF,C_0402_1005Metric,67.962587,-100.0,0.0,top
C27,2.2uF,C_0402_1005Metric,82.712587,-105.5,0.0,top
C28,1uF,C_0402_1005Metric,82.212587,-111.23,-90.0,top
C29,4.7uF,C_0402_1005Metric,69.5,-90.75,180.0,top
C30,100nF,C_0402_1005Metric,69.5,-86.75,0.0,top
C46,1uF,C_0805_2012Metric,75.0,-163.81,-90.0,top
C47,100nF,C_1206_3216Metric,70.8375,-161.41,0.0,top
C48,100nF,C_1206_3216Metric,75.0,-159.31,90.0,top
C49,47uF,CP_Elec_4x5.4,65.5,-158.76,-90.0,top
C50,100nF,C_0402_1005Metric,87.5,-72.499883,-90.0,top
C51,1uF,C_0402_1005Metric,88.5,-72.500001,-90.0,top
C57,220pF,C_0402_1005Metric,60.707345,-80.26,-90.0,top
C58,470pF,C_0402_1005Metric,73.0,-80.0,90.0,top
C60,220pF,C_0402_1005Metric,60.707345,-77.51,90.0,top
C61,1uF,C_0402_1005Metric,71.75,-78.0,90.0,top
C63,10uF,CP_EIA-3216-18_Kemet-A,66.957345,-81.76,0.0,top
