Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"J2","Micro_SD_Card","microSD_HC_Wuerth_693072010801",90.300000,-144.700000,-0.000000,bottom
"J9","ARM_JTAG_SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",109.500000,-90.200000,180.000000,bottom
"SW1","BUTTON_BOOT_FLASH","SW_Push_1P1T_NO_6x6mm_H9.5mm",118.250000,-90.200000,270.000000,bottom
"SW2","BUTTON_RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",129.750000,-90.200000,90.000000,bottom
"SW3","BUTTON_USER_00","SW_Push_1P1T_NO_6x6mm_H9.5mm",87.800000,-118.400000,90.000000,bottom
"SW4","BUTTON_USER_01","SW_Push_1P1T_NO_6x6mm_H9.5mm",87.750000,-129.070000,90.000000,bottom
"SW5","BUTTON_PROGRAMMER","SW_Push_1P1T_NO_6x6mm_H9.5mm",141.250000,-90.240000,90.000000,bottom
"X1","LOGO","KLST_CORE--graphics",145.760000,-113.040000,180.000000,bottom
"C1","100nF","C_0402_1005Metric",89.250000,-118.250000,270.000000,top
"C2","100nF","C_0402_1005Metric",89.250000,-129.250000,90.000000,top
"C3","100nF","C_0402_1005Metric",142.750000,-90.200000,90.000000,top
"C4","100nF","C_0402_1005Metric",129.300000,-90.200000,270.000000,top
"C5","10uF","C_0805_2012Metric",193.560000,-125.400000,180.000000,top
"C6","10uF","C_0805_2012Metric",193.560000,-128.650000,180.000000,top
"C7","10uF","C_0805_2012Metric",147.790000,-140.390000,90.000000,top
"C8","10uF","C_0805_2012Metric",138.040000,-140.890000,270.000000,top
"C9","12pF","C_0402_1005Metric",104.250000,-111.450000,180.000000,top
"C10","12pF","C_0402_1005Metric",104.250000,-118.450000,180.000000,top
"C11","2.2uF","C_0603_1608Metric",128.250000,-126.450000,180.000000,top
"C12","2.2uF","C_0603_1608Metric",137.550000,-105.950000,270.000000,top
"C13","1uF","C_0402_1005Metric",106.100000,-123.700000,180.000000,top
"C14","100nF","C_0402_1005Metric",106.100000,-122.450000,180.000000,top
"C15","1uF","C_0402_1005Metric",106.100000,-119.700000,180.000000,top
