Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100nF,C49678 
D1,D_SOD-523,1,1N914WT,C896167
"D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,9,Schottky,C8598
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole_Pad,
J1,DIN5-RA-PTH,1,MIDI IN,C2939344
"J10, J11, J12, J13, J4, J5, J6, J7, J8, J9",IDC-Header_2x03_P2.54mm_Horizontal,10,UART,C146629
J2,DIN5-RA-PTH,1,MIDI OUT,C2939344
J3,DIN5-RA-PTH,1,MIDI THRU,C2939344
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,PWR,
"R1, R2, R4, R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,47,C328398
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,220,C479094
R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,470,C328396
U1,SMDIP-6_W9.53mm,1,H11L1SR2M,C20082
"U2, U3",SOT-23-5_HandSoldering,2,74AHC1G125,C5513
