Designator,Mid X,Mid Y,Rotation,Layer
C1,196.5,-95.5,180.0,top
D1,196.5,-81.0,180.0,top
D10,121.0,-96.0,180.0,top
D2,159.5,-105.5,180.0,top
D3,143.0,-105.5,180.0,top
D4,126.5,-105.5,180.0,top
D5,110.0,-105.5,180.0,top
D6,187.0,-96.0,180.0,top
D7,170.5,-96.0,180.0,top
D8,154.0,-96.0,180.0,top
D9,137.5,-96.0,180.0,top
J1,218.0,-110.5,90.0,top
J10,162.5,-93.5,90.0,top
J11,146.0,-93.5,90.0,top
J12,129.5,-93.5,90.0,top
J13,113.0,-93.5,90.0,top
J2,218.0,-91.0,90.0,top
J3,83.0,-91.0,-90.0,top
J4,184.0,-108.0,-90.0,top
J5,167.5,-108.0,-90.0,top
J6,151.0,-108.0,-90.0,top
J7,134.5,-108.0,-90.0,top
J8,118.0,-108.0,-90.0,top
J9,179.0,-93.5,90.0,top
R1,196.5,-112.0,0.0,top
R2,104.5,-89.5,180.0,top
R3,193.0,-80.5,0.0,top
R4,196.5,-119.0,180.0,top
R5,104.5,-82.5,0.0,top
R6,192.5,-95.5,180.0,top
U1,194.5,-88.0,-90.0,top
U2,196.5,-115.5,-90.0,top
U3,104.5,-86.0,90.0,top
X1,95.0,-112.5,0.0,top
