Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,87.555,-87.0,270.0,bottom
C2,10uF,C_0805_2012Metric,76.555,-81.75,90.0,bottom
C3,1uF,C_0805_2012Metric,79.805,-88.25,90.0,bottom
C4,10nF,C_0805_2012Metric,81.805,-88.25,90.0,bottom
C5,1uF,C_0402_1005Metric,110.75,-111.0,0.0,bottom
C6,100nF,C_0402_1005Metric,112.0,-101.5,90.0,top
C7,100nF,C_0402_1005Metric,110.75,-110.0,0.0,bottom
C8,100nF,C_0402_1005Metric,112.0,-108.5,-90.0,top
C9,12pF,C_0402_1005Metric,109.5,-101.5,180.0,top
C10,1uF,C_0402_1005Metric,110.5,-110.0,180.0,top
C11,100nF,C_0402_1005Metric,116.25,-114.75,180.0,top
C12,100nF,C_0402_1005Metric,110.5,-111.0,180.0,top
C13,12pF,C_0402_1005Metric,109.5,-107.0,180.0,top
C14,100nF,C_0402_1005Metric,122.75,-114.75,180.0,top
C15,100nF,C_0402_1005Metric,127.75,-114.75,180.0,top
C16,1uF,C_0402_1005Metric,111.52,-96.75,180.0,top
C17,100nF,C_0402_1005Metric,111.52,-95.75,180.0,top
C18,100nF,C_0402_1005Metric,133.75,-114.75,0.0,top
C19,100nF,C_0402_1005Metric,136.5,-106.0,-90.0,top
C20,100nF,C_0402_1005Metric,136.5,-93.25,-90.0,top
C21,100nF,C_0402_1005Metric,127.25,-90.25,0.0,top
C22,100nF,C_0402_1005Metric,122.25,-90.25,0.0,top
C23,100nF,C_0402_1005Metric,114.5,-89.75,180.0,top
C24,2.2uF,C_0402_1005Metric,132.25,-115.25,-90.0,top
C25,100nF,C_0402_1005Metric,111.52,-107.0,180.0,top
C26,4.7uF,C_0402_1005Metric,122.25,-89.25,0.0,top
C27,2.2uF,C_0402_1005Metric,137.0,-94.75,0.0,top
C28,1uF,C_0402_1005Metric,136.5,-100.48,-90.0,top
C29,4.7uF,C_0402_1005Metric,164.5,-66.0,90.0,bottom
C30,100nF,C_0402_1005Metric,160.5,-66.0,270.0,bottom
C31,1uF,C_0805_2012Metric,97.0,-76.0,90.0,bottom
C32,4.7uF,C_0805_2012Metric,97.0,-91.5,270.0,bottom
C33,100nF,C_0805_2012Metric,89.25,-68.099949,270.0,bottom
C34,22uF,C_0805_2012Metric,91.25,-68.099949,270.0,bottom
C35,100nF,C_0805_2012Metric,79.5,-72.099949,270.0,bottom
C36,22uF,C_0805_2012Metric,93.25,-68.099949,270.0,bottom
C37,47uF,CP_Elec_4x5.4,82.0,-70.899949,90.0,top
C38,100nF,C_0402_1005Metric,187.4,-77.52,90.0,top
C39,100nF,C_0402_1005Metric,189.0,-67.02,90.0,top
C40,100nF,C_0402_1005Metric,188.4,-77.5,90.0,top
C41,100nF,C_0402_1005Metric,60.0,-77.48,90.0,top
C42,100nF,C_0402_1005Metric,61.5,-67.0,90.0,top
C43,100nF,C_0402_1005Metric,61.0,-77.48,90.0,top
C44,100nF,C_0402_1005Metric,137.0,-136.475,0.0,top
C45,100nF,C_0402_1005Metric,87.25,-137.0,90.0,top
C46,1uF,C_0805_2012Metric,129.25,-143.75,-90.0,top
C47,100nF,C_1206_3216Metric,92.525,-95.982483,0.0,bottom
C48,100nF,C_1206_3216Metric,89.75,-90.232483,90.0,bottom
C49,47uF,CP_Elec_4x5.4,87.5,-95.0,-90.0,top
C50,100nF,C_0402_1005Metric,175.5,-54.5,-90.0,top
C51,1uF,C_0402_1005Metric,176.5,-54.5,-90.0,top
C52,100nF,C_0402_1005Metric,188.0,-86.0,90.0,top
C53,100nF,C_0402_1005Metric,60.5,-85.48,90.0,top
C54,100nF,C_0402_1005Metric,123.25,-109.5,0.0,bottom
C55,100nF,C_0402_1005Metric,120.0,-101.5,90.0,bottom
C56,100nF,C_0402_1005Metric,129.0,-105.5,90.0,bottom
C57,220pF,C_0402_1005Metric,178.5,-124.0,90.0,top
C58,470pF,C_0402_1005Metric,165.0,-124.75,-90.0,top
C59,470pF,C_0402_1005Metric,169.0,-124.75,90.0,top
C60,220pF,C_0402_1005Metric,178.5,-126.75,-90.0,top
C61,1uF,C_0402_1005Metric,166.25,-126.75,-90.0,top
C62,1uF,C_0402_1005Metric,167.75,-126.75,-90.0,top
C63,10uF,CP_EIA-3216-18_Kemet-A,172.25,-122.5,180.0,top
C64,1uF,C_0402_1005Metric,174.0,-124.25,180.0,top
C65,1uF,C_0402_1005Metric,174.0,-126.5,180.0,top
C66,10uF,CP_EIA-3216-18_Kemet-A,172.25,-128.25,180.0,top
C67,2.2uF,C_0603_1608Metric,164.75,-135.75,-90.0,top
C68,2.2uF,C_0603_1608Metric,163.0,-135.75,-90.0,top
C69,1uF,C_0805_2012Metric,174.5,-119.5,0.0,top
C70,2.2uF,C_0402_1005Metric,162.5,-133.75,0.0,top
C71,10nF,C_0805_2012Metric,174.5,-117.25,0.0,top
C72,4.7uF,C_0402_1005Metric,170.75,-131.0,0.0,top
C74,4.7uF,C_0402_1005Metric,170.75,-132.25,0.0,top
C77,100nF,C_0402_1005Metric,170.75,-134.25,0.0,top
C78,100nF,C_0402_1005Metric,169.25,-135.0,-90.0,top
C79,100nF,C_0402_1005Metric,168.0,-135.0,-90.0,top
C80,100nF,C_0402_1005Metric,166.75,-135.0,-90.0,top
C81,100nF,C_0402_1005Metric,74.5,-54.5,-90.0,top
C82,1uF,C_0402_1005Metric,73.5,-54.5,-90.0,top
C83,100nF,C_0402_1005Metric,162.5,-130.52,180.0,top
C84,100nF,C_0402_1005Metric,162.5,-131.5,180.0,top
C85,4.7uF,C_0402_1005Metric,170.73,-130.0,0.0,top
C86,4.7uF,C_0402_1005Metric,162.5,-132.5,180.0,top
C87,100nF,C_0402_1005Metric,170.75,-133.25,0.0,top
C88,10uF,C_0805_2012Metric,172.5,-86.5,180.0,bottom
C89,10uF,C_0805_2012Metric,167.0,-97.75,0.0,bottom
D1,LED,LED_0805_2012Metric,179.25,-54.5,270.0,bottom
D2,LED,LED_0805_2012Metric,68.5,-54.5,90.0,bottom
D3,PWR_LED,LED_0805_2012Metric,68.5,-59.25,90.0,top
D4,SS14,D_SMA,96.25,-81.5,270.0,bottom
D5,LED_STDBY,LED_0805_2012Metric,70.5,-59.25,90.0,top
D6,LED_CHRG,LED_0805_2012Metric,72.5,-59.25,90.0,top
D7,SS32,D_SMA,84.25,-73.099949,180.0,bottom
D9,SS14,D_SMA,182.0,-109.0,-90.0,top
D10,SS14,D_SMA,66.5,-105.0,90.0,top
D11,1N914WT,D_SOD-523,101.0,-133.675,-90.0,top
D12,SP0503BAHT,SOT-143,132.0,-143.75,180.0,top
D13,SP0503BAHT,SOT-143,119.75,-144.0,180.0,top
D14,SS14,D_SMA,81.072959,-138.0,0.0,top
FB1,600Ω@100MHz,L_1206_3216Metric,87.805,-82.75,90.0,bottom
FB2,5Ω@100MHz,L_0402_1005Metric,165.25,-126.75,-90.0,top
FB3,5Ω@100MHz,L_0402_1005Metric,168.75,-126.75,-90.0,top
FB4,600Ω@100MHz,L_1206_3216Metric,168.25,-86.5,0.0,bottom
J1,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3AT-SF-PEJM5,162.53,-60.0,180.0,top
J2,FPC-40,CONN-SMD_40P-P0.50-H_THD0525-40CL-GF,148.5,-83.125,0.0,bottom
J3,Battery_18650_Plus,MY-18650-01,95.5755,-121.5,0.0,top
J4,Battery_18650_Minus,MY-18650-01,152.9245,-121.5,180.0,top
J5,UART,IDC-Header_2x03_P2.54mm_Horizontal,191.315,-107.045,0.0,top
J6,UART,IDC-Header_2x03_P2.54mm_Horizontal,57.185,-106.955,180.0,top
J7,MIDI_IN,PJ-316A-6A,94.25,-145.75,180.0,top
J8,MIDI_OUT,PJ-316A-6A,106.25,-145.75,180.0,top
J9,DEVICE+CHARGE(UFP),USB_C_Receptacle_HRO_TYPE-C-31-M-12,130.25,-150.44,0.0,top
J10,HOST(DFP),USB_C_Receptacle_HRO_TYPE-C-31-M-12,118.25,-150.44,0.0,top
J11,DAC,PJ-316A-6A,82.25,-145.75,180.0,top
J12,ADC,PJ-316A-6A,70.25,-145.75,180.0,top
J13,GPIO,IDC-Header_2x17_P2.54mm_Horizontal,124.25,-57.075,90.0,top
J14,ARM_JTAG_SWD(STDC14),PinHeader_2x07_P1.27mm_Vertical_SMD,124.25,-137.5,90.0,top
J16,MIC_IN,PJ-316A-6A,142.5,-145.75,180.0,top
J17,LINE_IN,PJ-316A-6A,166.5,-145.75,180.0,top
J18,HEADPHONE_OUT+MIC,PJ-316A-6A,154.5,-145.75,180.0,top
