Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,IDC_CONNECTOR,PinHeader_1x27_P2.54mm_Vertical,174.25,-74.91,90.0,top
J10,R05,KLST_PinHeader_1x57_P2.54mm_Vertical,174.237736,-123.122482,90.0,top
J11,R06,KLST_PinHeader_1x57_P2.54mm_Vertical,174.237736,-120.582482,90.0,top
J12,R07,KLST_PinHeader_1x57_P2.54mm_Vertical,174.237736,-118.042482,90.0,top
J13,R08,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-115.55,90.0,top
J14,R00,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-107.93,90.0,top
J15,R01,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-105.39,90.0,top
J16,R02,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-102.85,90.0,top
J17,R03,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-100.31,90.0,top
J18,R04,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-97.77,90.0,top
J19,R05,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-95.23,90.0,top
J2,GPIO,IDC-Header_2x17_P2.54mm_Horizontal,174.25,-62.02,90.0,bottom
J20,R06,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-92.69,90.0,top
J21,R07,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-90.15,90.0,top
J22,R08,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-87.61,90.0,top
J23,GND_RAIL,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-82.53,90.0,top
J24,5V_RAIL,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-79.99,90.0,top
J3,GND_RAIL,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-143.49,90.0,top
J4,3.3V_RAIL,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-140.95,90.0,top
J5,R00,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-135.87,90.0,top
J6,R01,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-133.33,90.0,top
J7,R02,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-130.79,90.0,top
J8,R03,KLST_PinHeader_1x57_P2.54mm_Vertical,174.25,-128.25,90.0,top
J9,R04,KLST_PinHeader_1x57_P2.54mm_Vertical,174.237736,-125.662482,90.0,top
