Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","12pF","C_0402_1005Metric",115.800000,-126.400000,270.000000,top
"C2","12pF","C_0402_1005Metric",121.200000,-126.400000,270.000000,top
"C3","100nF","C_0402_1005Metric",144.200000,-136.500000,270.000000,top
"C4","10uF","C_0805_2012Metric",124.100000,-141.600000,270.000000,top
"C5","10uF","C_0805_2012Metric",121.900000,-141.600000,270.000000,top
"C6","2.2uF","C_0603_1608Metric",128.300000,-114.100000,0.000000,top
"C7","1uF","C_0402_1005Metric",121.900000,-124.900000,180.000000,top
"C8","100nF","C_0402_1005Metric",121.900000,-123.900000,180.000000,top
"C9","1uF","C_0402_1005Metric",124.500000,-124.400000,270.000000,top
"C10","10nF","C_0402_1005Metric",125.600000,-124.400000,270.000000,top
"C11","1uF","C_0402_1005Metric",115.800000,-124.100000,270.000000,top
"C12","100nF","C_0402_1005Metric",127.300000,-119.500000,270.000000,top
"C13","100nF","C_0402_1005Metric",112.700000,-119.800000,90.000000,top
"C14","100nF","C_0402_1005Metric",127.300000,-112.300000,270.000000,top
"C15","100nF","C_0402_1005Metric",116.500000,-109.000000,0.000000,top
"C16","220uF","CP_Elec_6.3x5.4",124.400000,-100.000000,90.000000,top
"C17","220uF","CP_Elec_6.3x5.4",117.200000,-100.000000,90.000000,top
"C18","1uF","CP_EIA-3216-18_Kemet-A",115.500000,-68.600000,90.000000,top
"C19","220pF","C_0805_2012Metric",117.700000,-68.000000,90.000000,top
"C20","10uF","CP_EIA-3216-18_Kemet-A",145.700000,-119.950000,270.000000,top
"C21","100nF","C_0402_1005Metric",147.400000,-118.550000,270.000000,top
"C22","1uF","CP_EIA-3216-18_Kemet-A",136.300000,-100.300000,180.000000,top
"C23","220pF","C_0805_2012Metric",135.700000,-102.500000,180.000000,top
"C24","1uF","CP_EIA-3216-18_Kemet-A",131.500000,-100.300000,0.000000,top
"C25","220pF","C_0805_2012Metric",132.100000,-102.500000,0.000000,top
"C26","1uF","CP_EIA-3216-18_Kemet-A",146.250000,-100.300000,180.000000,top
"C27","1uF","CP_EIA-3216-18_Kemet-A",141.550000,-100.300000,0.000000,top
"C28","100nF","C_0402_1005Metric",132.100000,-115.900000,90.000000,top
"C29","10uF","CP_EIA-3216-18_Kemet-A",133.800000,-115.900000,270.000000,top
"C30","100nF","C_0402_1005Metric",132.100000,-119.250000,90.000000,top
"C31","10uF","CP_EIA-3216-18_Kemet-A",133.800000,-120.650000,270.000000,top
"C32","100nF","C_0402_1005Metric",147.400000,-111.200000,270.000000,top
"C33","10uF","CP_EIA-3216-18_Kemet-A",145.700000,-109.800000,90.000000,top
"C34","100nF","C_0402_1005Metric",132.100000,-111.200000,270.000000,top
"C35","10uF","CP_EIA-3216-18_Kemet-A",133.800000,-109.800000,90.000000,top
"C36","100nF","C_0402_1005Metric",145.400000,-80.000000,90.000000,top
"C37","100nF","C_0402_1005Metric",145.400000,-89.600000,90.000000,top
"C38","100nF","C_0402_1005Metric",141.400000,-89.600000,90.000000,top
"C39","100nF","C_0402_1005Metric",130.500000,-80.000000,90.000000,top
"C40","100nF","C_0402_1005Metric",130.500000,-89.600000,90.000000,top
"C41","100nF","C_0402_1005Metric",126.500000,-89.600000,90.000000,top
"C42","100nF","C_0402_1005Metric",115.600000,-79.980000,90.000000,top
"C43","100nF","C_0402_1005Metric",115.600000,-89.600000,90.000000,top
"C44","100nF","C_0402_1005Metric",111.600000,-89.600000,90.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.800000,-141.600000,90.000000,top
"D5","D_Schottky","D_SOD-123",142.800000,-68.650000,270.000000,top
"D6","D_Schottky","D_SOD-123",115.400000,-73.450000,90.000000,top
"FB1","600Ω@100MHz","L_1206_3216Metric",127.700000,-141.100000,0.000000,top
"J5","ARM_JTAG_SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",136.000000,-133.200000,90.000000,top
"L1","39nH","L_0402_1005Metric",123.400000,-124.400000,90.000000,top
"Q1","AO3401A","SOT-23",127.600000,-144.300000,180.000000,top
"R1","22R","R_0402_1005Metric",127.700000,-124.400000,270.000000,top
"R2","22R","R_0402_1005Metric",126.700000,-124.400000,270.000000,top
"R3","10R","R_0402_1005Metric",119.400000,-123.700000,0.000000,top
"R4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.200000,-74.300000,90.000000,top
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.100000,-74.300000,90.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.000000,-74.300000,90.000000,top
"R7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.700000,-141.600000,270.000000,top
"R8","10K","R_0402_1005Metric",146.400000,-133.000000,90.000000,top
"R9","10K","R_0402_1005Metric",146.400000,-129.500000,90.000000,top
"R10","47K","R_0805_2012Metric",121.900000,-71.500000,90.000000,top
"R11","47K","R_0805_2012Metric",119.800000,-71.500000,90.000000,top
"R12","680R","R_0805_2012Metric",121.900000,-68.000000,270.000000,top
"R13","2.2K","R_0402_1005Metric",119.200000,-108.500000,270.000000,top
"R14","2.2K","R_0402_1005Metric",120.200000,-108.500000,270.000000,top
"R15","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.700000,-71.700000,270.000000,top
"R16","47K","R_0805_2012Metric",119.800000,-68.000000,270.000000,top
"R17","5.6K","R_0805_2012Metric",135.700000,-96.050000,0.000000,top
"R18","5.6K","R_0805_2012Metric",135.700000,-98.150000,0.000000,top
"R19","5.6K","R_0805_2012Metric",132.100000,-96.050000,180.000000,top
"R20","5.6K","R_0805_2012Metric",132.100000,-98.150000,180.000000,top
"R21","100R","R_0805_2012Metric",145.650000,-96.200000,0.000000,top
"R22","47K","R_0805_2012Metric",145.650000,-98.200000,0.000000,top
"R23","100R","R_0805_2012Metric",142.150000,-96.200000,180.000000,top
"R24","47K","R_0805_2012Metric",142.150000,-98.200000,180.000000,top
"R25","10K","R_0402_1005Metric",147.400000,-80.000000,270.000000,top
"R26","1K","R_0402_1005Metric",146.400000,-80.000000,90.000000,top
"R27","10K","R_0402_1005Metric",142.400000,-89.600000,270.000000,top
"R28","10K","R_0402_1005Metric",146.400000,-89.600000,270.000000,top
"R29","10K","R_0402_1005Metric",144.400000,-89.600000,90.000000,top
"R30","10K","R_0402_1005Metric",143.400000,-89.600000,270.000000,top
"R31","10K","R_0402_1005Metric",132.500000,-80.000000,270.000000,top
"R32","1K","R_0402_1005Metric",131.500000,-80.000000,90.000000,top
"R33","10K","R_0402_1005Metric",127.500000,-89.600000,270.000000,top
"R34","10K","R_0402_1005Metric",131.500000,-89.600000,270.000000,top
"R35","10K","R_0402_1005Metric",129.500000,-89.600000,90.000000,top
"R36","10K","R_0402_1005Metric",128.500000,-89.600000,270.000000,top
"R37","10K","R_0402_1005Metric",117.600000,-80.000000,270.000000,top
"R38","1K","R_0402_1005Metric",116.600000,-80.000000,90.000000,top
"R39","10K","R_0402_1005Metric",112.600000,-89.590000,270.000000,top
"R40","10K","R_0402_1005Metric",116.600000,-89.600000,270.000000,top
"R41","10K","R_0402_1005Metric",114.600000,-89.600000,90.000000,top
"R42","10K","R_0402_1005Metric",113.600000,-89.600000,270.000000,top
"R43","2.2K","R_0402_1005Metric",109.400000,-112.900000,270.000000,top
"R44","2.2K","R_0402_1005Metric",109.400000,-114.900000,90.000000,top
"R45","10K","R_0402_1005Metric",146.400000,-136.500000,90.000000,top
"R46","1K","R_0402_1005Metric",145.300000,-136.500000,270.000000,top
"SW1","BUTTON_BOOT_FLASH","SW_Push_SPST_NO_Alps_SKRK",149.700000,-129.500000,0.000000,top
"SW2","BUTTON_RESET","SW_Push_SPST_NO_Alps_SKRK",149.700000,-133.000000,180.000000,top
"SW6","BUTTON","SW_Push_SPST_NO_Alps_SKRK",149.700000,-136.500000,0.000000,top
"U1","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",120.000000,-116.300000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",121.500000,-135.200000,90.000000,top
"U3","WM8731SEDS","SSOP-28_5.3x10.2mm_P0.65mm",139.750000,-115.100000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",118.500000,-126.100000,0.000000,top
